cluster,resid,alter,ll,bic,npar,l-squared,df,classerror,entropy
1,0,0,-5441.50,10967.60,13.00,3116.50,657.00,0.00,1.00
2,0,0,-4961.01,10097.71,27.00,2155.51,643.00,0.06,0.79
3,0,0,-4880.06,10026.92,41.00,1993.62,629.00,0.10,0.74
4,0,1,-4823.62,10005.14,55.00,1880.74,615.00,0.13,0.73
4,1,0,-4760.48,9917.90,61.00,1754.46,609.00,0.13,0.72
5,0,0,-4782.76,10014.53,69.00,1799.02,601.00,0.13,0.75
6,0,0,-4746.39,10032.88,83.00,1726.28,587.00,0.14,0.78
7,0,0,-4723.62,10078.45,97.00,1680.74,573.00,0.15,0.77
8,0,0,-4702.72,10127.74,111.00,1638.93,559.00,0.16,0.77
9,0,0,-4685.89,10185.18,125.00,1605.27,545.00,0.16,0.79
10,0,0,-4663.84,10232.19,139.00,1561.18,531.00,0.14,0.81
