variable,outcome,Cluster1,Cluster2,Cluster3,Cluster4
actabort,1,0.3335,0.5608,0.6964,0.3088
actabort,2,0.6665,0.4392,0.3036,0.6912
actcapun,1,0.9222,0.7648,0.8093,0.3221
actcapun,2,0.0778,0.2352,0.1907,0.6779
actecon,1,0.8408,0.3021,0.3732,0.0723
actecon,2,0.1592,0.6979,0.6268,0.9277
acteduc,1,0.8267,0.5602,0.1696,0.0353
acteduc,2,0.1733,0.4398,0.8304,0.9647
actenvir,1,0.9199,0.3543,0.8408,0.2397
actenvir,2,0.0801,0.6457,0.1592,0.7603
actforgn,1,0.9724,0.8337,0.9994,0.3965
actforgn,2,0.0276,0.1663,0.0006,0.6035
actlgbt,1,0.6296,0.3694,0.7797,0.1425
actlgbt,2,0.3704,0.6306,0.2203,0.8575
actgun,1,0.9262,0.5309,0.7442,0.1299
actgun,2,0.0738,0.4691,0.2558,0.8701
actheal,1,0.9403,0.5887,0.3238,0.0684
actheal,2,0.0597,0.4113,0.6762,0.9316
acthungr,1,0.6103,0.1935,0.3367,0.0246
acthungr,2,0.3897,0.8065,0.6633,0.9754
actimm,1,0.6958,0.1533,0.6586,0.0686
actimm,2,0.3042,0.8467,0.3414,0.9314
actpolic,1,0.8536,0.8275,0.3302,0.196
actpolic,2,0.1464,0.1725,0.6698,0.804
actrace,1,0.628,0.2863,0.2621,0.1147
actrace,2,0.372,0.7137,0.7379,0.8853
